age,income,credit_score,loan_term,loan_amount,monthly_installment,interest_rate,repayment_status
36,71064,595,48,14000,115.965,9.73,0
56,105849,456,24,10000,58.551,6.74,1
45,101995,466,60,10000,50.769,5.99,0
27,47254,402,48,4000,48.924,14.38,0
22,89940,622,48,14000,128.724,10.81,0
61,54179,682,60,24500,244.747,11.79,0
50,89341,640,36,14000,67.474,5.62,1
34,107495,580,48,20000,203.018,11.93,0
29,83038,374,48,7000,44.299,7.44,0
57,54843,657,48,14000,81.177,6.81,0
56,79266,594,48,14000,173.595,14.57,0
47,75886,358,36,7000,67.207,11.2,1
47,140613,839,12,50000,470.133,10.35,0
40,53450,651,12,14000,158.442,12.46,0
49,100008,525,48,10000,52.48,6.17,0
63,105943,785,60,50000,314.256,7.42,0
51,58272,549,60,7000,50.036,8.44,0
35,100876,318,48,10000,94.781,11.14,0
40,134973,639,24,20000,169.974,9.78,1
44,48452,737,60,14000,174.502,14.71,0
35,41918,759,60,20000,158.426,9.35,0
52,57718,476,48,7000,39.184,6.58,0
40,137367,668,12,20000,115.582,6.36,1
41,117872,786,60,50000,388.009,9.16,0
53,78806,461,48,7000,62.032,10.41,0
49,111807,488,60,10000,112.248,13.25,0
28,76612,356,48,7000,79.381,13.33,0
37,146108,560,24,10000,68.995,7.94,1
41,129099,400,48,10000,104.396,12.27,0
38,86724,408,24,7000,43.433,7.14,1
63,144638,541,48,10000,66.46,7.81,0
23,88269,684,48,24500,273.988,13.14,0
49,107137,672,48,35000,370.615,12.44,0
53,132854,360,24,10000,125.782,14.47,0
26,110751,390,12,10000,62.111,6.84,1
43,30694,690,60,14000,135.049,11.38,0
63,60962,335,24,7000,53.74,8.83,0
36,45960,398,24,4000,46.798,13.46,0
57,132237,631,48,20000,118.022,6.93,0
24,122370,676,24,35000,359.126,11.8,1
31,110971,545,24,10000,58.387,6.72,1
31,136182,725,36,35000,295.231,9.84,1
46,140882,677,60,35000,364.381,12.29,0
50,103583,413,24,10000,111.888,12.87,0
44,93746,684,12,24500,276.925,12.44,0
53,44596,612,12,8000,84.241,11.59,1
41,57995,349,48,7000,68.38,11.48,0
59,47384,752,24,20000,87.797,5.05,0
24,33810,815,48,20000,132.987,7.81,0
43,32425,311,60,4000,45.741,13.5,0
56,96948,400,36,7000,84.828,14.14,0
29,87820,803,12,35000,296.412,9.32,0
53,100300,669,24,20000,147.707,8.5,1
40,136313,842,12,50000,572.755,12.61,0
47,131610,785,24,50000,414.183,9.53,0
44,73515,482,60,7000,29.813,5.03,0
43,118715,443,60,10000,124.921,14.74,0
53,41490,507,12,4000,37.543,10.33,0
23,35541,702,60,14000,88.935,7.5,0
55,65804,687,36,24500,130.442,6.21,0
62,30860,622,60,8000,76.38,11.27,0
41,88305,302,36,7000,88.415,14.74,0
58,43630,650,48,8000,97.436,14.31,0
26,58652,807,48,35000,325.315,10.92,0
52,146084,787,48,50000,309.506,7.27,0
45,66454,398,48,7000,83.63,14.04,0
41,139027,767,12,50000,343.52,7.56,0
60,84538,312,12,7000,55.066,8.66,1
27,111116,455,48,10000,55.777,6.55,0
34,132010,838,12,50000,578.719,12.74,0
33,65915,306,24,7000,42.811,7.03,1
32,75697,554,60,7000,36.576,6.17,0
27,52904,634,60,14000,87.467,7.37,0
29,52100,749,60,35000,395.368,13.33,0
65,127922,672,60,35000,386.853,13.04,0
57,30395,618,48,8000,64.278,9.44,0
58,136490,762,48,50000,468.227,11.01,0
49,144529,838,12,50000,631.946,13.92,0
42,58442,847,24,35000,243.674,8.01,0
49,34407,446,48,4000,43.495,12.78,0
53,51888,380,60,7000,31.989,5.39,0
62,64183,326,12,7000,66.349,10.43,0
55,101417,769,36,50000,552.899,12.9,0
46,113917,754,60,50000,262.87,6.2,0
35,126236,676,36,35000,227.002,7.57,1
28,71616,501,12,7000,53.592,8.43,1
43,94188,365,12,7000,61.062,9.6,1
50,113335,500,36,10000,51.816,6.05,1
31,51213,758,60,35000,398.342,13.43,0
26,110378,580,60,20000,128.626,7.59,0
59,131260,684,60,35000,365.965,12.34,0
62,80026,327,48,7000,87.05,14.62,0
57,125345,373,24,10000,108.693,12.51,0
33,72227,397,60,7000,67.461,11.37,0
56,65493,345,60,7000,61.873,10.43,0
39,103585,337,12,10000,91.478,10.07,1
50,93540,576,48,7000,56.099,9.42,0
61,64545,522,48,7000,43.766,7.35,0
52,80327,464,48,7000,47.377,7.95,0
37,63298,454,36,7000,59.309,9.89,1
56,66590,479,12,7000,78.178,12.3,0
46,77925,353,36,7000,66.767,11.13,1
31,51469,479,36,7000,52.159,8.69,1
28,100789,476,24,10000,83.426,9.6,1
23,38579,521,36,4000,39.551,11.54,0
30,50310,738,48,24500,280.687,13.46,0
36,46904,436,48,4000,29.057,8.54,0
65,80987,531,24,7000,83.256,13.68,0
28,63556,542,60,7000,37.753,6.36,0
59,61617,760,60,35000,265.152,8.94,0
31,55491,566,48,7000,83.438,14.01,0
52,98824,507,24,7000,68.611,11.28,1
55,44059,325,36,4000,34.003,9.92,0
35,54232,686,12,24500,164.252,7.38,0
48,94600,321,12,7000,90.081,14.17,0
40,105324,665,24,20000,221.195,12.72,0
63,127434,659,48,20000,159.331,9.36,0
22,78426,416,48,7000,78.127,13.12,0
47,114892,636,36,20000,99.599,5.81,1
59,117817,392,36,10000,117.152,13.67,0
61,93917,510,36,7000,76.25,12.71,0
62,114808,701,12,35000,224.041,7.05,0
56,76769,604,36,14000,90.217,7.52,0
51,132219,370,12,10000,106.976,11.78,1
37,131441,507,36,10000,61.611,7.19,1
62,144089,824,24,50000,606.665,13.96,0
36,32499,709,12,14000,143.008,11.25,0
38,53685,836,36,35000,262.524,8.75,0
54,92563,368,36,7000,50.894,8.48,1
37,52668,579,60,7000,59.688,10.06,0
60,34466,623,12,8000,76.692,10.55,0
54,144797,781,24,50000,495.102,11.39,0
38,125869,548,36,10000,79.759,9.31,1
52,34711,347,24,4000,32.757,9.42,0
39,60680,730,12,24500,264.542,11.89,0
44,99365,395,12,7000,34.556,5.43,1
56,104665,797,48,50000,341.628,8.03,0
55,118651,369,24,10000,75.814,8.72,1
29,135993,756,48,50000,318.704,7.49,0
42,62779,740,36,35000,184.461,6.15,0
25,63624,722,48,24500,165.327,7.93,0
42,99824,348,36,7000,35.008,5.84,1
46,76800,372,24,7000,73.828,12.13,0
38,104025,599,24,20000,119.964,6.9,1
